id;age;weight;height;sex
803;110,37;37,1;148,5;F
804;102,12;28,5;131,1;F
805;112,34;30,1;132,95;F
806;106,65;28,4;130,6;M
807;112,44;31,9;136,65;F
808;104,38;30,3;135,05;M
809;102,94;27,5;128,4;F
810;105,93;24,4;121;M
811;104,58;32,7;139,4;F
812;105,47;25,7;124;M
813;105,37;32,1;138,5;M
814;108,79;25,1;122;M
815;106,98;27,7;128,3;M
816;108,85;28,8;130,3;M
817;103,69;28,1;129,35;M
818;111,91;29,3;129,4;F
819;103,2;30,1;133,35;M
820;106,59;28,9;130,05;M
821;105,73;25,2;121,5;M
822;105,34;28,5;128;F
823;103,86;28,4;128,8;M
824;105,96;29,8;131,4;M
825;102,74;33,2;139;M
826;112,54;30,7;132,05;M
827;113,92;29,9;129,5;M
828;113,56;37;144;M
829;104,09;33,8;139;M
830;112,67;35,5;141;M
831;104,58;32,4;134,45;F
832;112,14;35,9;141,5;M
833;110,89;32,9;135,2;M
834;113,42;34,4;135,5;F
835;109,55;34;137;M
836;109,18;35;138,95;M
837;110,96;29,7;127,75;M
838;103,1;35,3;140,45;M
839;110,76;29,9;126,35;F
840;106,45;27,5;121,45;F
841;112,01;35,5;136,5;F
842;104,58;30;127;F
843;111,45;38,6;142,35;F
844;102,94;28,5;124;F
845;104,22;32,3;133;M
846;103,33;29,9;128,1;M
847;102,15;31,3;131;M
848;111,68;36,5;137,5;F
849;104,28;33,4;132,55;F
850;110,83;33,7;131,5;F
851;101,98;32,8;133;M
852;105,83;33,4;131,35;F
853;111,35;29,2;123,65;M
854;110,76;38,1;140,35;M
855;113,49;40;143;M
856;109,87;38,4;137,95;F
857;103,13;37,3;137;F
858;105,8;38,1;137,55;F
859;103;26,5;117,45;M
860;109,05;35,6;131,85;F
861;104,45;35,3;134,5;M
862;104,65;39,8;138,85;F
863;107,47;36,9;134,95;M
864;108,13;33,7;125,35;F
865;110,83;38,1;136,1;M
866;104,98;38,5;134,6;F
867;104,84;40,7;138;F
868;109,05;35,6;131,1;M
869;110,99;39;136,75;M
870;108,76;40,9;140,5;M
871;106,13;38,7;133;F
872;106,65;47,1;145,5;F
873;110,76;35,2;128,1;M
874;106,16;41,8;136,35;F
875;108,2;40,9;138,05;M
876;113,42;46,7;145,5;M
877;108,36;44,8;139,65;F
878;101,98;39;136;M
879;105,76;38;128,4;F
880;105,07;38,8;129,2;F
881;102,54;40,6;137;M
882;107,93;54,8;151,4;F
883;106,65;52,5;148;F
884;108,59;50,9;144,85;F
885;105,73;36,9;128,2;M
886;111,88;44,8;135,35;M
887;112,73;58,7;145,5;F
888;110,04;48,1;137,95;M
889;103,86;43,1;126,4;F
890;112,04;52;135;F
891;102,38;44,8;131,75;M
892;108,82;53,7;139,35;M
893;125,85;28;152,6;M
894;117,21;23,5;134,2;M
895;121,51;23;133;F
896;115,66;23;132,3;F
897;124,24;28;144;F
898;119,15;24,1;134;F
899;117,7;23,3;130,2;M
900;124,87;28;141,15;M
901;115,66;22,4;126,85;M
902;123,52;29;144;F
903;116,94;23,5;130,25;F
904;116,15;22,5;125,9;M
905;116,38;23,4;128,35;F
906;123,16;29,3;141,65;M
907;117,11;27,7;138,45;M
908;122,27;30,1;143,65;M
909;123,22;27;136,45;F
910;125,06;28,7;140,05;F
911;118,82;26,3;133,85;M
912;122,89;27,9;137;F
913;114,44;28,4;139,45;F
914;114,81;29,4;141;M
915;124,83;25,4;129,95;F
916;125,65;25;128,5;F
917;125,82;26;131;F
918;114,9;24,1;127,7;F
919;114,51;28,6;139;F
920;119,18;22,7;122,5;M
921;121,61;30,3;141,4;F
922;114,02;29;139,55;F
923;117,34;24;126,45;F
924;120,56;28;135,45;M
925;123,98;28;135;F
926;114,05;25,2;129,2;M
